"",".rownames","arrest94","variet90c","agree90c","totimp90c","cpstot90",".fitted",".se.fit",".resid",".hat",".sigma",".cooksd",".std.resid"
"1","1",1,-1.35,1.03,2.6962928891385,-1.95588596541622,1.74769166636486,0.61954454831442,-0.747691666364855,0.0664780707439415,2.42106953506966,0.00147719477313393,-0.322052698013112
"2","2",0,-1.35,0.66636363636364,-5.78167466397627,-7.03966021616776,0.497519853323065,0.456821950799065,-0.49751985332306,0.0361432545128277,2.42226651635129,0.000333569572823193,-0.210897209863074
"3","4",8,-1.35,0.48454545454545,6.54669244306274,-0.174275882688691,2.67851964524947,0.627305376344793,5.32148035475053,0.0681539995716857,2.31444480829159,0.0769894657686191,2.29417770193505
"4","5",0,-1.35,0.575454545454551,-4.79190587746553,-8.41213682351531,0.598919144471487,0.489373247095906,-0.598919144471485,0.0414776149314515,2.42185568026233,0.0005609303909377,-0.254585538074671
"5","6",4,5.65,-1.69727272727273,8.25977812827507,9.5121053338737,4.75149814018057,0.850389715761473,-0.751498140180569,0.125247575177867,2.4209058633593,0.00320197664780043,-0.334389010773286
"6","7",6,-1.35,-1.78818181818182,-4.78435233071597,8.4815517561659,2.93299579642215,0.929444255500222,3.06700420357785,0.149616683258782,2.38416541093891,0.0674128403758981,1.38411976210262
"7","8",3,2.65,-1.78818181818182,11.8328423989668,3.16763632370153,4.88273900507584,0.94871017447477,-1.88273900507584,0.155883606223872,2.40843372576867,0.0268620614386173,-0.852816543567387
"8","9",1,7.65,-0.33363636363636,5.2304936263251,-6.16940028978693,2.65073510810737,1.06461044530938,-1.65073510810737,0.196297502277121,2.4112781295741,0.02868416665625,-0.766295707714782
"9","10",0,-1.35,0.39363636363636,-4.82175362891396,-5.40996954066643,0.877118134822133,0.407922685084473,-0.877118134822132,0.0288196726203913,2.42039277938028,0.000814270674322128,-0.370403273316182
"10","11",0,-1.35,1.12090909090909,-5.57086636925453,-7.21175400640287,0.263033509105654,0.52357949661837,-0.263033509105652,0.0474786749783711,2.42291077964967,0.000125410718690629,-0.112160616838185
"11","12",5,1.65,-0.424545454545449,6.34938596511567,-3.15849055043441,2.99598636380021,0.603381430913844,2.00401363619979,0.063054663019308,2.40812745559787,0.00999202170925968,0.861608965106611
"12","13",0,-1.35,0.84818181818182,-5.80971879924293,-7.33268575596856,0.37501300005079,0.476442255848559,-0.375013000050789,0.0393146009940362,2.42265279506109,0.000207514028606128,-0.159229082232344
"13","14",5,-1.35,0.84818181818182,-9.80798217221326,-9.16076786504829,-0.275500401260847,0.606084132026416,5.27550040126085,0.0636208043423072,2.31688754574291,0.069949769494929,2.26884300937938
"14","15",0,-1.35,-0.424545454545449,-9.12067880115013,5.22496579797644,1.39284925750852,0.790465706667777,-1.39284925750852,0.108217972884238,2.41554459349964,0.009144364338883,-0.613820548901373
